Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHRO,Channel Therapeutics Corporation Common Stock,$1.1397,0.0647,6.019%,7517290.00,,2024,54196,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.88,0.01,0.348%,0.00,United States,,678763,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$24.05,0.22,0.923%,296261296.00,United States,1998,3724,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.73,-0.45,-4.025%,22030074.00,United States,2003,12605,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.356,-0.0006,-0.168%,11318158.00,,2021,520784,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$7.95,0.07,0.888%,0.00,United States,2003,1375754,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$18.58,-0.71,-3.681%,358497087.00,Canada,,181233,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$16.05,0.03,0.187%,144322162.00,United States,1996,39403,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$11.11,-0.38,-3.307%,942654158.00,,2024,102844,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$24.56,1.26,5.408%,143908706.00,China,2016,9616,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$8.0727,0.2126,2.705%,16586767.00,United States,,3169,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.613,0.093,6.118%,5261609.00,China,,78172,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.66,0.06,0.789%,0.00,United States,2003,875724,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$20.33,0.27,1.346%,255212411.00,United States,2021,95358,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.18,0.00,0.00%,101523511.00,,2022,3028528,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$2.38,0.02,0.847%,7222289.00,United States,1997,143551,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$13.78,0.19,1.398%,13313299.00,United States,1930,5008,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.97,-0.03,-1.00%,38610214.00,United States,2022,36009,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$8.90,0.08,0.907%,177927999.00,Canada,,324227,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$3.74,-0.09,-2.35%,418466401.00,United States,2022,702525,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$10.00,-0.23,-2.248%,796253560.00,,2023,151340,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.06,-0.01,-0.483%,0.00,United States,1998,283003,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$108.27,0.00,0.00%,69884171.00,United States,1999,34,Consumer Discretionary,Food Distributors
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.975,-0.015,-0.215%,434478707.00,United States,1988,108844,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$14.60,0.35,2.456%,0.00,,2022,25040,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.68,0.06,3.704%,1505858829.00,Canada,,168210346,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.8518,0.0128,1.526%,7745007.00,United States,,5197,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$3.49,-0.04,-1.133%,277866984.00,,2025,355518,,
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$6.75,0.14,2.118%,1683882.00,,,41807,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.91,0.01,0.145%,0.00,United States,2003,59076,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.09,0.13,1.305%,0.00,United States,1986,38557,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.8441,0.234,1.083%,,United States,,800,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.59,-0.03,-0.312%,0.00,United States,2002,96905,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.63,-0.01,-0.177%,146352982.00,United States,,48058,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$13.72,-0.63,-4.39%,176337466.00,Israel,,3207,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$20.95,0.17,0.818%,175689109.00,United States,2011,49762,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$2.40,-0.02,-0.826%,259181566.00,Canada,,427667,Basic Materials,Metal Mining
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.13,0.02,0.22%,0.00,United States,2002,55627,Finance,Finance/Investors Services
EONR,EON Resources Inc. Class A Common Stock,$0.425,-0.0042,-0.979%,8401970.00,,2022,965174,Energy,Oil & Gas Production
EP,Empire Petroleum Corporation Common Stock,$5.19,0.28,5.703%,175005383.00,United States,2022,16397,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$4.79,0.08,1.699%,164333596.00,United States,,190002,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$6.94,-0.37,-5.062%,3165378548.00,Canada,,22816498,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.34,-0.02,-0.214%,0.00,United States,2003,37866,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.30,0.01,0.089%,0.00,,2004,20747,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$37.72,-0.15,-0.396%,106800370.00,United States,1960,28845,Technology,Industrial Machinery/Components
EVI,EVI Industries Inc.  Common Stock,$18.51,-1.01,-5.174%,236163741.00,United States,1999,46085,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$8.79,-0.02,-0.227%,0.00,United States,2002,71531,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.02,-0.04,-0.398%,0.00,United States,2003,181794,Finance,Finance/Investors Services
EXOD,Exodus Movement Inc. Class A Common Stock,$28.86,2.73,10.448%,830016169.00,United States,,123829,Finance,Finance: Consumer Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$15.75,0.05,0.318%,0.00,United States,1986,52104,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.29,0.03,0.479%,0.00,United States,1992,70684,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$2.93,0.00,0.00%,234779687.00,,2023,19310,Consumer Discretionary,Transportation Services
FLYY,Spirit Aviation Holdings Inc. Common Stock,$5.33,-0.27,-4.821%,130984825.00,,2025,216220,,
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3378,-0.0349,-9.364%,2232737.00,,2022,2065446,Finance,Life Insurance
FSI,Flexible Solutions International Inc. Common Stock (CDA),$4.32,-0.05,-1.144%,54637338.00,Canada,2002,16297,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$1.80,0.06,3.448%,186420087.00,United States,,425132,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.43,-0.02,-0.31%,259806555.00,United States,2003,148531,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.4671,-0.0129,-2.688%,74891238.00,,2020,209908,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.45,-0.01,-0.685%,373432674.00,Canada,,976209,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GBR,New Concept Energy Inc Common Stock,$0.925,0.0239,2.652%,4747039.00,United States,1993,8121,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$14.29,0.15,1.061%,209458562.00,United States,,10567,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.41,-0.01,-0.226%,0.00,United States,2005,499907,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$20.50,-0.11,-0.534%,,United States,,3498,,
GLDG,GoldMining Inc. Common Shares,$0.77,-0.012,-1.535%,150870070.00,,,507622,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.31,0.01,0.189%,0.00,United States,2006,77645,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.9259,0.0559,0.814%,0.00,United States,2005,7286,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$16.8072,0.0122,0.073%,100320681.00,United States,2004,8716,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.6199,-0.0182,-0.036%,,United States,,974,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.59,0.03,0.54%,71046569.00,United States,2004,10825,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.42,0.0599,16.634%,27044367.00,Singapore,2022,3486812,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.646,0.0041,0.639%,88146526.00,United States,,717549,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$4.76,-0.10,-2.058%,34377453.00,United States,1997,606880,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$12.95,0.15,1.172%,,United States,,13848,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.4388,0.00,0.00%,0.00,,2024,130,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.73,-0.27,-2.70%,0.00,United States,,4228,Finance,Finance/Investors Services
GRO,Brazil Potash Corp. Common Shares,$1.70,0.01,0.592%,65303353.00,,2024,91277,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$2.03,0.01,0.495%,343214977.00,Canada,2021,2494187,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$4.75,0.00,0.00%,146064087.00,Canada,,184737,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.42,0.015,3.704%,5103887.00,,2024,529716,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$12.31,-0.01,-0.081%,0.00,United States,2007,12772,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$0.4878,0.0078,1.625%,7651891.00,United States,,345633,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$70.71,-3.79,-5.087%,,United States,,2293,,
